Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2020-07-31,The Saint,1997,https://boxd.it/1heGiP,2,,"Almost competent, excellent henchman, ridiculous love story",,2020-07-30
2020-08-02,Black Sea,2014,https://boxd.it/1hqvyr,4,,Incredibly stressful and well done,,2020-08-01
2020-08-03,The Firm,1993,https://boxd.it/1hyi6b,3,,"Excellent supporting acting from everyone involved, but god-damn the movie climax was so much worse than the book version. No Cruise motorcycle scene??",,2020-08-02
2020-08-09,2012,2009,https://boxd.it/1iaffv,2,,"Goofiest shit imaginable, but Cusack and Harrelson actually go pretty hard.",,2020-08-09
2020-08-10,Gone Girl,2014,https://boxd.it/1ihxJH,4,,"Affleck starts off weak, pretty much everyone else is solid.",,2020-08-09
2020-09-10,Red Dragon,2002,https://boxd.it/1lymHr,2,,"Ed Norton makes Jodie Foster's performance look even better, and the poor casting decisions (Fiennes, Hoffman) who do their best aren't able to overcome it.",,2020-09-09
2020-09-27,Enola Holmes,2020,https://boxd.it/1nhyAL,1,,incredible waste of some good actors,,2020-09-26
2020-10-01,Bastille Day,2016,https://boxd.it/1nFXkr,1,,"A mess: awful dubbing, embarrassingly bad imitations of better movies (Jason Bourse, Catch Me If You Can), and a mess of a script. Was anything fun? No.",,2020-09-30
2020-11-09,Diamonds Are Forever,1971,https://boxd.it/1rYWln,2,,"Embarrassing performances, but a quality soundtrack ngl",,2020-11-08
2020-11-09,Live and Let Die,1973,https://boxd.it/1rZxbf,4,,"The boat chase sucked, but everything else was fun as hell. Absolutely iconic black tactileneck from Roger Moore.",,2020-11-08
2020-11-13,Draft Day,2014,https://boxd.it/1sm1gj,2,,One of the most misogynistic movies I've seen- how did this get made this decade?? Pretty incredible that the NFL thought this made them look good.,,2020-11-12
2020-11-14,Akira,1988,https://boxd.it/1ssfcR,4.5,Yes,"Some parts are dated, but my god the rest of it is excellent",,2020-11-13
2020-11-29,Moonraker,1979,https://boxd.it/1u3uJJ,2,,"enjoyable, ridiculous",,2020-11-28
2020-12-12,The Secret Life of Walter Mitty,2013,https://boxd.it/1vuWQh,2,,"The advertising is kind of overwhelming, but the actual movie wasn't awful.",,2020-12-11
2020-12-14,Ava,2020,https://boxd.it/1vKs29,1,,what a mess,,2020-12-13
2020-12-22,The Mechanic,1972,https://boxd.it/1wG7Dz,1,,"some awful acting (basically everyone but Bronson), and nothing else has aged well enough to cover for it (other than the architecture)",,2020-12-21
2020-12-24,American Gangster,2007,https://boxd.it/1wRWYZ,4,,It's very hard to tell if Denzel or Crowe are 'acting' lol,,2020-12-23
2020-12-26,Tenet,2020,https://boxd.it/1x8bIp,3,,"The dialogue borders on self-parody, but some fun action scenes and it certainly scratches the blockbuster itch.",,2020-12-24
2020-12-29,Soul,2020,https://boxd.it/1xOtkp,2,,"don't get the love, feels like a repeat (thematically) of other pixars done better.",,2020-12-28
