Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2018-03-23,Independence Day: Resurgence,2016,https://letterboxd.com/forrestdiamond/film/independence-day-resurgence/,2,,"action, sequel",2016-08-05
2018-03-23,Star Wars: The Force Awakens,2015,https://letterboxd.com/forrestdiamond/film/star-wars-the-force-awakens/,3,,"star-wars, science-fiction",2016-08-14
2018-03-23,Green Room,2015,https://letterboxd.com/forrestdiamond/film/green-room/,5,,"horror, thriller",2016-08-16
2018-03-23,High-Rise,2015,https://letterboxd.com/forrestdiamond/film/high-rise-2015/,3,,,2016-08-16
2018-03-23,The Abyss,1989,https://letterboxd.com/forrestdiamond/film/the-abyss/,4,,,2016-08-18
2018-03-23,Triple 9,2016,https://letterboxd.com/forrestdiamond/film/triple-9/,3,,action,2016-08-21
2018-03-23,All the President's Men,1976,https://letterboxd.com/forrestdiamond/film/all-the-presidents-men/,4,,documentary-ish,2016-08-23
2018-03-23,The Parallax View,1974,https://letterboxd.com/forrestdiamond/film/the-parallax-view/,2,,,2016-08-25
2018-03-23,Warcraft,2016,https://letterboxd.com/forrestdiamond/film/warcraft/,2,,"action, fantasy",2016-08-28
2018-03-23,Winter Kills,1979,https://letterboxd.com/forrestdiamond/film/winter-kills/,4,,,2016-08-28
2018-03-23,Source Code,2011,https://letterboxd.com/forrestdiamond/film/source-code/,3,,action,2016-08-29
2018-03-23,13 Hours: The Secret Soldiers of Benghazi,2016,https://letterboxd.com/forrestdiamond/film/13-hours-the-secret-soldiers-of-benghazi/,2,,"action, documentary-ish",2016-08-31
2018-03-23,Snatch,2000,https://letterboxd.com/forrestdiamond/film/snatch/,4,,guy-ritchie,2016-09-18
2018-03-23,Blood Father,2016,https://letterboxd.com/forrestdiamond/film/blood-father/,4,,action,2016-09-22
2018-03-23,Executive Action,1973,https://letterboxd.com/forrestdiamond/film/executive-action/,3,,,2016-09-25
2018-03-23,Klute,1971,https://letterboxd.com/forrestdiamond/film/klute/,4,,,2016-09-25
2018-03-23,The Transporter,2002,https://letterboxd.com/forrestdiamond/film/the-transporter/,4,,action,2016-09-26
2018-03-23,London Has Fallen,2016,https://letterboxd.com/forrestdiamond/film/london-has-fallen/,2,,action,2016-09-27
2018-03-23,Blade,1998,https://letterboxd.com/forrestdiamond/film/blade/,4,,"superhero, action",2016-09-28
2018-03-23,Swiss Army Man,2016,https://letterboxd.com/forrestdiamond/film/swiss-army-man/,3,,,2016-09-28
2018-03-23,Safe House,2012,https://letterboxd.com/forrestdiamond/film/safe-house-2012/,4,,action,2016-11-02
2018-03-23,Windy City Heat,2003,https://letterboxd.com/forrestdiamond/film/windy-city-heat/,5,,comedy,2016-11-03
2018-03-23,Thief,1981,https://letterboxd.com/forrestdiamond/film/thief/,4,,,2016-11-03
2018-03-23,Westworld,1973,https://letterboxd.com/forrestdiamond/film/westworld/,3,,science-fiction,2016-11-09
2018-03-23,Fortress,1992,https://letterboxd.com/forrestdiamond/film/fortress-1992/,3,,action,2016-11-10
2018-03-23,Dog Day Afternoon,1975,https://letterboxd.com/forrestdiamond/film/dog-day-afternoon/,4,,documentary-ish,2016-11-11
2018-03-23,Johnny Mnemonic,1995,https://letterboxd.com/forrestdiamond/film/johnny-mnemonic/,2,,science-fiction,2016-11-17
2018-03-23,Star Trek Beyond,2016,https://letterboxd.com/forrestdiamond/film/star-trek-beyond/,2,,"science-fiction, star-trek, sequel",2016-11-25
2018-03-23,Repo Man,1984,https://letterboxd.com/forrestdiamond/film/repo-man/,4,,,2016-12-03
2018-03-23,Ronin,1998,https://letterboxd.com/forrestdiamond/film/ronin/,4,,heist,2016-12-17
