Date,Name,Year,Letterboxd URI
2019-01-04,Private Life,2018,https://letterboxd.com/film/private-life-2018/
2019-01-04,Shirkers,2018,https://letterboxd.com/film/shirkers/
2019-01-04,Minding the Gap,2018,https://letterboxd.com/film/minding-the-gap/
2019-01-04,Bisbee '17,2018,https://letterboxd.com/film/bisbee-17/
2019-01-05,Revenge,2017,https://letterboxd.com/film/revenge-2017-1/
2019-01-05,First Man,2018,https://letterboxd.com/film/first-man/
2019-01-09,The Kindergarten Teacher,2018,https://letterboxd.com/film/the-kindergarten-teacher-2018/
2019-01-09,The Kindergarten Teacher,2014,https://letterboxd.com/film/the-kindergarten-teacher/
2019-01-11,Velvet Buzzsaw,2019,https://letterboxd.com/film/velvet-buzzsaw/
2019-01-16,Eighth Grade,2018,https://letterboxd.com/film/eighth-grade/
2019-01-16,"Night Is Short, Walk on Girl",2017,https://letterboxd.com/film/night-is-short-walk-on-girl/
2019-01-16,A Prayer Before Dawn,2017,https://letterboxd.com/film/a-prayer-before-dawn/
2019-01-16,The Endless,2017,https://letterboxd.com/film/the-endless/
2019-01-18,Gran Torino,2008,https://letterboxd.com/film/gran-torino/
2019-01-18,The Man Who Killed Hitler and Then the Bigfoot,2018,https://letterboxd.com/film/the-man-who-killed-hitler-and-then-the-bigfoot/
2019-01-18,High Flying Bird,2019,https://letterboxd.com/film/high-flying-bird/
2019-01-19,Pumping Iron,1977,https://letterboxd.com/film/pumping-iron/
2019-01-21,The Boys from Brazil,1978,https://letterboxd.com/film/the-boys-from-brazil/
2019-01-22,Sugar,2008,https://letterboxd.com/film/sugar-2008/
2019-01-23,Roma,2018,https://letterboxd.com/film/roma-2018/
2019-01-23,Border,2018,https://letterboxd.com/film/border-2018/
2019-01-23,Can You Ever Forgive Me?,2018,https://letterboxd.com/film/can-you-ever-forgive-me/
2019-01-25,Cop Land,1997,https://letterboxd.com/film/cop-land/
2019-01-25,Assault on Precinct 13,1976,https://letterboxd.com/film/assault-on-precinct-13/
